
natural spline
             x          Natural CS          N_Error(%) 
       1.880000       33.1734860638        1.9994528945
       1.890000       33.3701883244        1.9674950250
       1.900000       33.5673283017        1.9354032850
       1.910000       33.7649109141        1.9031967301
       1.920000       33.9629410797        1.8708939616
       1.930000       34.1614237165        1.8385131377
       1.940000       34.3603637429        1.8060719831
       1.950000       34.5597660769        1.7735877990
       1.960000       34.7596356367        1.7410774735
       1.970000       34.9599773405        1.7085574903
       1.980000       35.1607961064        1.6760439384
       1.990000       35.3620968527        1.6435525209
       2.000000       35.5638844974        1.6110985641
       2.010000       35.7661639589        1.5786970258
       2.020000       35.9689401551        1.5463625035
       2.030000       36.1722180043        1.5141092432
       2.040000       36.3760024247        1.4819511468
       2.050000       36.5802983344        1.4499017801
       2.060000       36.7851106515        1.4179743803
       2.070000       36.9904442944        1.3861818635
       2.080000       37.1963041810        1.3545368318
       2.090000       37.4026952296        1.3230515806
       2.100000       37.6096223584        1.2917381050
       2.110000       37.8170904855        1.2606081071
       2.120000       38.0251045291        1.2296730019
       2.130000       38.2336694073        1.1989439245
       2.140000       38.4427900383        1.1684317356
       2.150000       38.6524713404        1.1381470279
       2.160000       38.8627182316        1.1081001320
       2.170000       39.0735356301        1.0783011226
       2.180000       39.2849284540        1.0487598233
       2.190000       39.4969016217        1.0194858131
       2.200000       39.7094600511        0.9904884311
       2.210000       39.9226086605        0.9617767822
       2.220000       40.1363523681        0.9333597420
       2.230000       40.3506960920        0.9052459620
       2.240000       40.5656447504        0.8774438746
       2.250000       40.7812032614        0.8499616975
       2.260000       40.9973765433        0.8228074389
       2.270000       41.2141695141        0.7959889018
       2.280000       41.4315870921        0.7695136885
       2.290000       41.6496341954        0.7433892051
       2.300000       41.8683157421        0.7176226657
       2.310000       42.0876366505        0.6922210964
       2.320000       42.3076018388        0.6671913398
       2.330000       42.5282162250        0.6425400587
       2.340000       42.7494847274        0.6182737400
       2.350000       42.9714122640        0.5943986985
       2.360000       43.1940037532        0.5709210809
       2.370000       43.4172641130        0.5478468691
       2.380000       43.6411982616        0.5251818839
       2.390000       43.8658111172        0.5029317885
       2.400000       44.0911075980        0.4811020920
       2.410000       44.3170926220        0.4596981523
       2.420000       44.5437711076        0.4387251801
       2.430000       44.7711479727        0.4181882411
       2.440000       44.9992281357        0.3980922602
       2.450000       45.2280165147        0.3784420235
       2.460000       45.4575180278        0.3592421820
       2.470000       45.6877375933        0.3404972542
       2.480000       45.9186801292        0.3222116291
       2.490000       46.1503505538        0.3043895688
       2.500000       46.3827537851        0.2870352111
       2.510000       46.6158947415        0.2701525727
       2.520000       46.8497783410        0.2537455511
       2.530000       47.0844095018        0.2378179279
       2.540000       47.3197931421        0.2223733704
       2.550000       47.5559341800        0.2074154349
       2.560000       47.7928375338        0.1929475685
       2.570000       48.0305081215        0.1789731117
       2.580000       48.2689508614        0.1654953005
       2.590000       48.5081706715        0.1525172688
       2.600000       48.7481724702        0.1400420505
       2.610000       48.9889611755        0.1280725816
       2.620000       49.2305417056        0.1166117023
       2.630000       49.4729189787        0.1056621591
       2.640000       49.7160979129        0.0952266069
       2.650000       49.9600834265        0.0853076105
       2.660000       50.2048804375        0.0759076470
       2.670000       50.4504938641        0.0670291077
       2.680000       50.6969286246        0.0586742994
       2.690000       50.9441896370        0.0508454466
       2.700000       51.1922818196        0.0435446934
       2.710000       51.4412100905        0.0367741049
       2.720000       51.6909793679        0.0305356688
       2.730000       51.9415945699        0.0248312974
       2.740000       52.1930606147        0.0196628290
       2.750000       52.4453824205        0.0150320296
       2.760000       52.6985649055        0.0109405943
       2.770000       52.9526129877        0.0073901488
       2.780000       53.2075315855        0.0043822511
       2.790000       53.4633256168        0.0019183926
       2.800000       53.7200000000        0.0000000000
       2.810000       53.9775534080        0.0013831336
       2.820000       54.2359595330        0.0022871147
       2.830000       54.4951858222        0.0027784761
       2.840000       54.7551997227        0.0029225179
       2.850000       55.0159686816        0.0027833297
       2.860000       55.2774601459        0.0024238118
       2.870000       55.5396415628        0.0019056965
       2.880000       55.8024803794        0.0012895687
       2.890000       56.0659440428        0.0006348862
       2.900000       56.3300000000        0.0000000000
       2.910000       56.5946214155        0.0005679291
       2.920000       56.8598043228        0.0010628409
       2.930000       57.1255504729        0.0014888007
       2.940000       57.3918616166        0.0018498028
       2.950000       57.6587395048        0.0021497720
       2.960000       57.9261858884        0.0023925648
       2.970000       58.1942025182        0.0025819703
       2.980000       58.4627911452        0.0027217115
       2.990000       58.7319535202        0.0028154465
       3.000000       59.0016913941        0.0028667697
       3.010000       59.2720065178        0.0028792123
