
natural spline
             x          Natural CS          N_Error(%) 
       4.140000        1.4208701669        0.0122742014
       4.150000        1.4232735422        0.0116089491
       4.160000        1.4256711616        0.0109495401
       4.170000        1.4280630705        0.0102971545
       4.180000        1.4304493142        0.0096529791
       4.190000        1.4328299378        0.0090182066
       4.200000        1.4352049868        0.0083940358
       4.210000        1.4375745063        0.0077816713
       4.220000        1.4399385417        0.0071823235
       4.230000        1.4422971381        0.0065972085
       4.240000        1.4446503410        0.0060275477
       4.250000        1.4469981955        0.0054745681
       4.260000        1.4493407470        0.0049395018
       4.270000        1.4516780406        0.0044235860
       4.280000        1.4540101218        0.0039280631
       4.290000        1.4563370357        0.0034541803
       4.300000        1.4586588277        0.0030031894
       4.310000        1.4609755429        0.0025763472
       4.320000        1.4632872268        0.0021749148
       4.330000        1.4655939245        0.0018001580
       4.340000        1.4678956814        0.0014533469
       4.350000        1.4701925427        0.0011357556
       4.360000        1.4724845537        0.0008486627
       4.370000        1.4747717596        0.0005933508
       4.380000        1.4770542058        0.0003711063
       4.390000        1.4793319375        0.0001832197
       4.400000        1.4816050000        0.0000309850
       4.410000        1.4838734268        0.0000850935
       4.420000        1.4861372042        0.0001676737
       4.430000        1.4883963069        0.0002201773
       4.440000        1.4906507095        0.0002459939
       4.450000        1.4929003866        0.0002484818
       4.460000        1.4951453127        0.0002309682
       4.470000        1.4973854625        0.0001967496
       4.480000        1.4996208106        0.0001490925
       4.490000        1.5018513316        0.0000912335
       4.500000        1.5040770000        0.0000263800
       4.510000        1.5062977975        0.0000427522
       4.520000        1.5085137335        0.0001153214
       4.530000        1.5107248244        0.0001909621
       4.540000        1.5129310867        0.0002693202
       4.550000        1.5151325367        0.0003500533
       4.560000        1.5173291910        0.0004328302
       4.570000        1.5195210658        0.0005173310
       4.580000        1.5217081777        0.0006032467
       4.590000        1.5238905431        0.0006902791
       4.600000        1.5260681784        0.0007781407
       4.610000        1.5282410999        0.0008665546
       4.620000        1.5304093243        0.0009552542
       4.630000        1.5325728677        0.0010439828
       4.640000        1.5347317468        0.0011324941
       4.650000        1.5368859779        0.0012205515
       4.660000        1.5390355774        0.0013079280
       4.670000        1.5411805617        0.0013944066
       4.680000        1.5433209473        0.0014797791
       4.690000        1.5454567507        0.0015638473
       4.700000        1.5475879881        0.0016464215
       4.710000        1.5497146761        0.0017273214
       4.720000        1.5518368311        0.0018063756
       4.730000        1.5539544695        0.0018834212
       4.740000        1.5560676076        0.0019583040
       4.750000        1.5581762621        0.0020308785
       4.760000        1.5602804492        0.0021010073
       4.770000        1.5623801853        0.0021685614
       4.780000        1.5644754870        0.0022334198
       4.790000        1.5665663707        0.0022954696
       4.800000        1.5686528526        0.0023546057
       4.810000        1.5707349494        0.0024107309
       4.820000        1.5728126774        0.0024637554
       4.830000        1.5748860530        0.0025135971
       4.840000        1.5769550926        0.0025601814
       4.850000        1.5790198127        0.0026034410
       4.860000        1.5810802297        0.0026433155
       4.870000        1.5831363601        0.0026797521
       4.880000        1.5851882202        0.0027127047
       4.890000        1.5872358264        0.0027421341
       4.900000        1.5892791953        0.0027680079
       4.910000        1.5913183431        0.0027903006
       4.920000        1.5933532864        0.0028089931
       4.930000        1.5953840416        0.0028240729
       4.940000        1.5974106250        0.0028355339
       4.950000        1.5994330532        0.0028433764
       4.960000        1.6014513425        0.0028476067
       4.970000        1.6034655093        0.0028482375
       4.980000        1.6054755701        0.0028452874
       4.990000        1.6074815414        0.0028387812
       5.000000        1.6094834394        0.0028287492
       5.010000        1.6114812807        0.0028152279
       5.020000        1.6134750817        0.0027982592
       5.030000        1.6154648587        0.0027778909
       5.040000        1.6174506283        0.0027541761
       5.050000        1.6194324068        0.0027271736
       5.060000        1.6214102107        0.0026969475
       5.070000        1.6233840564        0.0026635673
       5.080000        1.6253539603        0.0026271075
       5.090000        1.6273199388        0.0025876482
       5.100000        1.6292820084        0.0025452742
       5.110000        1.6312401854        0.0025000755
