
natural spline
             x          Natural CS          N_Error(%) 
       1.890000        6.8900000000       78.9465964683
       1.900000        6.9000000000       79.0464621925
       1.910000        6.9100000000       79.1454776470
       1.920000        6.9200000000       79.2436531171
       1.930000        6.9300000000       79.3409987271
       1.940000        6.9400000000       79.4375244439
       1.950000        6.9500000000       79.5332400795
       1.960000        6.9600000000       79.6281552943
       1.970000        6.9700000000       79.7222795998
       1.980000        6.9800000000       79.8156223613
       1.990000        6.9900000000       79.9081928009
       2.000000        7.0000000000       80.0000000000
       2.010000        7.0100000000       80.0910529021
       2.020000        7.0200000000       80.1813603153
       2.030000        7.0300000000       80.2709309146
       2.040000        7.0400000000       80.3597732447
       2.050000        7.0500000000       80.4478957221
       2.060000        7.0600000000       80.5353066378
       2.070000        7.0700000000       80.6220141594
       2.080000        7.0800000000       80.7080263330
       2.090000        7.0900000000       80.7933510862
       2.100000        7.1000000000       80.8779962295
       2.110000        7.1100000000       80.9619694588
       2.120000        7.1200000000       81.0452783575
       2.130000        7.1300000000       81.1279303983
       2.140000        7.1400000000       81.2099329453
       2.150000        7.1500000000       81.2912932557
       2.160000        7.1600000000       81.3720184823
       2.170000        7.1700000000       81.4521156746
       2.180000        7.1800000000       81.5315917813
       2.190000        7.1900000000       81.6104536514
       2.200000        7.2000000000       81.6887080366
       2.210000        7.2100000000       81.7663615925
       2.220000        7.2200000000       81.8434208806
       2.230000        7.2300000000       81.9198923696
       2.240000        7.2400000000       81.9957824374
       2.250000        7.2500000000       82.0710973725
       2.260000        7.2600000000       82.1458433753
       2.270000        7.2700000000       82.2200265599
       2.280000        7.2800000000       82.2936529556
       2.290000        7.2900000000       82.3667285081
       2.300000        7.3000000000       82.4392590811
       2.310000        7.3100000000       82.5112504576
       2.320000        7.3200000000       82.5827083413
       2.330000        7.3300000000       82.6536383579
       2.340000        7.3400000000       82.7240460567
       2.350000        7.3500000000       82.7939369111
       2.360000        7.3600000000       82.8633163208
       2.370000        7.3700000000       82.9321896125
       2.380000        7.3800000000       83.0005620410
       2.390000        7.3900000000       83.0684387909
       2.400000        7.4000000000       83.1358249772
       2.410000        7.4100000000       83.2027256468
       2.420000        7.4200000000       83.2691457794
       2.430000        7.4300000000       83.3350902888
       2.440000        7.4400000000       83.4005640238
       2.450000        7.4500000000       83.4655717694
       2.460000        7.4600000000       83.5301182476
       2.470000        7.4700000000       83.5942081186
       2.480000        7.4800000000       83.6578459818
       2.490000        7.4900000000       83.7210363766
       2.500000        7.5000000000       83.7837837838
       2.510000        7.5100000000       83.8460926258
       2.520000        7.5200000000       83.9079672681
       2.530000        7.5300000000       83.9694120202
       2.540000        7.5400000000       84.0304311360
       2.550000        7.5500000000       84.0910288153
       2.560000        7.5600000000       84.1512092040
       2.570000        7.5700000000       84.2109763957
       2.580000        7.5800000000       84.2703344318
       2.590000        7.5900000000       84.3292873026
       2.600000        7.6000000000       84.3878389482
       2.610000        7.6100000000       84.4459932592
       2.620000        7.6200000000       84.5037540774
       2.630000        7.6300000000       84.5611251965
       2.640000        7.6400000000       84.6181103630
       2.650000        7.6500000000       84.6747132769
       2.660000        7.6600000000       84.7309375922
       2.670000        7.6700000000       84.7867869178
       2.680000        7.6800000000       84.8422648183
       2.690000        7.6900000000       84.8973748142
       2.700000        7.7000000000       84.9521203830
       2.710000        7.7100000000       85.0065049599
       2.720000        7.7200000000       85.0605319380
       2.730000        7.7300000000       85.1142046691
       2.740000        7.7400000000       85.1675264647
       2.750000        7.7500000000       85.2205005959
       2.760000        7.7600000000       85.2731302948
       2.770000        7.7700000000       85.3254187544
       2.780000        7.7800000000       85.3773691293
       2.790000        7.7900000000       85.4289845368
       2.800000        7.8000000000       85.4802680566
       2.810000        7.8100000000       85.5312227321
       2.820000        7.8200000000       85.5818515705
       2.830000        7.8300000000       85.6321575435
       2.840000        7.8400000000       85.6821435876
       2.850000        7.8500000000       85.7318126051
       2.860000        7.8600000000       85.7811674638
       2.870000        7.8700000000       85.8302109984
       2.880000        7.8800000000       85.8789460103
       2.890000        7.8900000000       85.9273752682
       2.900000        7.9000000000       85.9755015090
       2.910000        7.9100000000       86.0233274376
       2.920000        7.9200000000       86.0708557278
